#
#This data represents the results of running the PAGER exposure and loss
#algorithms on the output from ShakeMap.
#
#Notes: "Total" in the country column indicates that the results in that row are
#the sum of exposures/losses for all affected countries.
#
#"predicted_fatalities" and "predicted_dollars" are the results of applying loss
#models to the exposure data - note that these values are not guaranteed to
#match the actual losses from the earthquake.
#
id,location,time,latitude,longitude,depth,magnitude,country,pager_version,mmi1,mmi2,mmi3,mmi4,mmi5,mmi6,mmi7,mmi8,mmi9,mmi10,predicted_fatalities,fatality_sigma,predicted_dollars,dollars_sigma
us1000gez7,"24km ENE of Rio Caribe, Venezuela",2018-08-21 21:31:47.600,10.7731,-62.9019,146.82,7.3,Total,1,0,28441,3308154,8016146,4849666,1628640,3321,0,0,0,3,9.0,14890138,48854914.0
us1000gf2g,"78km E of Lakatoro, Vanuatu",2018-08-21 22:32:26.470,-16.0315,168.1428,9,6.5,Total,1,0,28197,64024,199760,21873,5687,1963,0,0,0,0,2.0,11037,26275.0
us1000ggj4,"140km WNW of Iberia, Peru",2018-08-24 09:04:08.250,-11.0355,-70.8284,630,7.1,Total,1,8,7909568,663051,0,0,0,0,0,0,0,0,2.0,0,2.0
us1000gjaz,"202km WNW of Ile Hunter, New Caledonia",2018-08-29 03:51:56.100,-22.0295,170.1262,21.43,7.1,Total,1,0,90476,251503,2716,0,0,0,0,0,0,0,2.0,0,2.0
us2000h8ty,"27km ENE of Tomakomai, Japan",2018-09-05 18:07:59.150,42.6861,141.9294,35,6.6,Total,1,0,0,2248544,2752848,1330217,1431811,1281064,41261,3881,0,13,30.0,323864991,958335510.0
us2000h9e2,"102km ESE of Suva, Fiji",2018-09-06 15:49:18.710,-18.4743,179.3502,670.81,7.9,Total,1,0,0,731910,192811,0,0,0,0,0,0,0,2.0,0,2.0
us2000hbk9,"66km NW of Kirakira, Solomon Islands",2018-09-09 19:31:35.090,-10.0207,161.5025,68,6.5,Total,1,0,25722,268605,302297,38217,0,0,0,0,0,0,2.0,0,2.0
us2000hbpv,"56km SW of L'Esperance Rock, New Zealand",2018-09-10 04:19:02.630,-31.7447,-179.3728,115,6.9,Total,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0,2.0
us2000hfjk,South of the Fiji Islands,2018-09-16 21:11:48.820,-25.415,178.1991,576,6.5,Total,1,0,0,0,0,0,0,0,0,0,0,0,2.0,0,2.0
us1000h3p4,"70km N of Palu, Indonesia",2018-09-28 10:02:45.250,-0.2559,119.8462,20,7.5,Total,1,0,1121,6627469,14747601,1187010,421200,138062,324818,501334,0,2733,7020.0,3482902078,8598328298.0
